result_id,place,total_points_earned,submitter_id,round_id,song_id
183,1,11,11,12,159
127,2,05,8,12,14
106,3,04,7,12,175
17,4,03,1,12,194
149,5,02,9,12,135
81,1,09,6,9,69
124,2,07,8,9,85
61,3,06,5,9,48
146,4,06,9,9,32
30,5,04,2,9,98
14,6,03,1,9,144
103,7,00,7,9,137
138,1,08,9,0,101
115,2,06,8,0,172
94,3,06,7,0,5
72,4,05,6,0,151
180,5,05,11,0,54
5,6,04,1,0,58
28,7,03,2,0,155
160,8,02,10,0,60
53,9,01,5,0,162
130,1,12,8,15,56
152,2,07,9,15,188
86,3,06,6,15,12
173,4,05,10,15,80
31,5,04,2,15,165
20,6,04,1,15,8
65,7,03,5,15,90
109,8,03,7,15,117
185,9,01,11,15,111
117,1,08,8,2,71
139,2,05,9,2,198
162,3,04,10,2,94
74,4,03,6,2,65
7,5,03,1,2,93
96,6,01,7,2,74
182,7,03,11,2,79
29,8,02,2,2,11
55,9,01,5,2,21
1,1,13,0,10,168
169,2,11,10,10,119
125,3,11,8,10,97
62,4,08,5,10,76
193,5,07,12,10,113
15,6,06,1,10,177
82,7,04,6,10,15
104,8,03,7,10,148
147,9,03,9,10,68
40,10,06,3,10,138
134,1,11,8,19,35
156,2,06,9,19,179
24,3,06,1,19,187
90,4,05,6,19,122
177,5,03,10,19,128
46,6,02,3,19,42
200,7,12,12,19,196
68,8,03,5,19,34
179,1,13,10,22,96
159,2,11,9,22,28
93,3,10,6,22,142
137,4,08,8,22,43
114,5,04,7,22,131
4,6,03,0,22,112
27,7,03,1,22,136
71,8,02,5,22,40
47,9,10,3,22,83
91,1,15,6,20,67
135,2,10,8,20,57
157,3,09,9,20,130
201,4,08,12,20,37
178,5,08,10,20,39
3,6,05,0,20,166
69,7,05,5,20,158
25,8,02,1,20,61
32,9,02,2,20,47
64,1,15,5,14,95
85,2,14,6,14,181
129,3,11,8,14,176
172,4,11,10,14,180
108,5,07,7,14,106
151,6,05,9,14,110
19,7,05,1,14,141
196,8,02,12,14,72
2,9,02,0,14,195
76,1,08,6,4,100
119,2,07,8,4,105
9,3,05,1,4,104
141,4,04,9,4,189
98,5,03,7,4,161
57,6,01,5,4,191
0,7,14,0,4,75
164,8,06,10,4,193
131,1,12,8,16,64
153,2,11,9,16,120
66,3,10,5,16,17
174,4,10,10,16,77
110,5,09,7,16,7
87,6,08,6,16,78
43,7,05,3,16,82
21,8,04,1,16,114
197,9,03,12,16,45
89,1,13,6,18,102
155,2,09,9,18,174
133,3,08,8,18,0
23,4,07,1,18,50
199,5,03,12,18,124
112,6,01,7,18,19
45,7,04,3,18,51
176,8,03,10,18,52
148,1,16,9,11,107
83,2,12,6,11,121
194,3,11,12,11,201
126,4,07,8,11,143
105,5,07,7,11,36
16,6,05,1,11,2
170,7,04,10,11,1
41,8,02,3,11,139
143,1,15,9,6,134
11,2,12,1,6,115
59,3,08,5,6,63
78,4,08,6,6,31
121,5,08,8,6,29
100,6,07,7,6,70
49,7,07,4,6,178
166,8,06,10,6,87
37,9,05,3,6,186
190,10,04,12,6,16
123,1,12,8,8,184
60,2,11,5,8,167
102,3,09,7,8,200
50,4,09,4,8,140
145,5,09,9,8,132
168,6,07,10,8,129
13,7,07,1,8,13
80,8,06,6,8,38
39,9,06,3,8,171
192,10,04,12,8,199
77,1,12,6,5,86
99,2,11,7,5,73
36,3,09,3,5,150
120,4,09,8,5,125
142,5,08,9,5,57
165,6,08,10,5,25
48,7,07,4,5,20
10,8,06,1,5,118
58,9,05,5,5,133
189,10,05,12,5,190
136,1,10,8,21,3
70,2,08,5,21,164
52,3,07,4,21,146
33,4,07,2,21,182
187,5,05,11,21,149
158,6,05,9,21,154
92,7,04,6,21,164
26,8,04,1,21,9
113,9,03,7,21,152
202,10,03,12,21,53
150,1,20,9,13,116
63,2,14,5,13,185
128,3,10,8,13,81
171,4,08,10,13,62
84,5,06,6,13,49
51,6,06,4,13,22
18,7,04,1,13,10
42,8,04,3,13,66
184,9,04,11,13,170
107,10,03,7,13,89
195,11,01,12,13,109
118,1,13,8,3,156
56,2,13,5,3,99
188,3,12,12,3,173
35,4,10,3,3,169
97,5,09,7,3,160
163,6,06,10,3,147
75,7,06,6,3,145
140,8,03,9,3,55
8,9,00,1,3,41
181,1,10,11,1,92
54,2,08,5,1,108
116,3,05,8,1,33
34,4,05,3,1,4
95,5,04,7,1,88
73,6,03,6,1,157
6,7,03,1,1,123
161,8,01,10,1,44
203,9,01,13,1,84
79,1,17,6,7,59
144,2,15,9,7,127
101,3,11,7,7,27
38,4,06,3,7,183
122,5,06,8,7,153
167,6,04,10,7,23
12,7,03,1,7,6
191,8,02,12,7,30
44,1,13,3,17,197
132,2,08,8,17,18
175,3,07,10,17,126
88,4,07,6,17,163
186,5,04,11,17,24
111,6,04,7,17,26
154,7,04,9,17,46
67,8,03,5,17,91
198,9,03,12,17,192
22,10,03,1,17,103
