round_id,name,date
9,One Hit Wonders,2020-10-17
6,Middle School Dance,2020-10-24
0,And Then a Skeleton Popped Out,2020-10-31
11,Songs for your Rival,2020-11-07
1,Coffee Shop First Date,2020-11-14
7,Neon Lights and Smoke Machines,2020-11-21
14,The First Snow of Winter,2020-11-28
17,Your Life is a Musical and This is the Showstopper,2020-12-05
15,Walking Home in the Rain,2020-12-12
10,Songs Gregular Should Cover,2020-12-19
2,Holiday Jams and Fuzzy Feelings,2020-12-26
12,Songs that Tell a Story,2021-01-02
13,Spicy and Dangerous (but in a hot way not in a legitimately concerning way),2021-01-09
8,No Thoughts. Head Empty,2021-01-16
4,I'm You But Better,2021-01-23
5,Little Bites,2021-01-30
3,I'm Dumping You!!!,2021-02-06
16,You're Dumping Me???,2021-02-13
