vote_id,points_given,voter_id,result_id
121,03,1,183
558,03,8,183
454,03,7,183
657,02,9,183
758,02,11,127
416,02,7,127
639,01,9,127
754,03,11,106
627,01,9,106
470,02,8,17
577,01,9,17
94,02,1,149
401,02,7,81
52,02,1,81
136,02,2,81
613,01,9,81
219,01,5,81
509,01,8,81
77,02,1,124
140,02,2,124
233,02,5,124
317,01,6,124
599,03,9,61
389,01,7,61
40,01,1,61
288,01,6,61
430,02,7,146
333,02,6,146
237,01,5,146
534,01,8,146
475,02,8,30
585,01,9,30
274,01,6,30
135,01,2,14
209,01,5,14
469,01,8,14
527,02,8,138
762,02,11,138
142,02,2,138
327,01,6,138
424,01,7,138
629,03,9,115
308,01,6,115
412,01,7,115
757,01,11,115
61,02,1,94
295,02,6,94
753,01,11,94
138,01,2,94
501,02,8,72
606,01,9,72
395,01,7,72
751,01,11,72
118,02,1,180
735,01,10,180
352,01,6,180
144,01,2,180
670,02,10,5
365,01,7,5
134,01,2,5
677,02,10,28
25,01,1,28
650,01,9,160
546,01,8,160
384,01,7,53
642,03,9,130
141,02,2,130
322,02,6,130
720,01,10,130
235,01,5,130
82,01,1,130
418,01,7,130
760,01,11,130
538,02,8,152
730,01,10,152
143,01,2,152
337,01,6,152
435,01,7,152
763,01,11,152
54,02,1,86
701,01,10,86
137,01,2,86
617,01,9,86
406,01,7,86
247,03,5,173
111,01,1,173
449,01,7,173
211,01,5,31
373,01,7,31
476,01,8,31
744,01,11,31
268,02,6,20
580,01,9,20
472,01,8,20
690,01,10,65
498,01,8,65
749,01,11,65
139,01,2,109
68,01,1,109
755,01,11,109
737,01,10,185
630,04,9,117
310,02,6,117
72,02,1,117
528,02,8,139
425,01,7,139
723,01,10,139
328,01,6,139
440,01,7,162
547,01,8,162
103,01,1,162
651,01,9,162
396,01,7,74
694,01,10,74
503,01,8,74
671,01,10,7
465,01,8,7
260,01,6,7
707,01,10,96
453,01,7,182
736,01,10,182
120,01,1,182
273,01,6,29
26,01,1,29
385,01,7,55
462,03,8,1
667,02,10,1
24,02,1,1
570,02,9,1
765,01,12,1
206,01,5,1
364,01,7,1
256,01,6,1
244,04,5,169
550,02,8,169
107,01,1,169
824,01,12,169
17,01,0,169
446,01,7,169
345,01,6,169
807,03,12,125
717,02,10,125
11,02,0,125
318,02,6,125
78,01,1,125
637,01,9,125
600,02,9,62
687,01,10,62
41,01,1,62
786,01,12,62
4,01,0,62
390,01,7,62
289,01,6,62
127,03,1,193
253,01,5,193
20,01,0,193
459,01,7,193
661,01,9,193
768,02,12,15
265,02,6,15
0,01,0,15
576,01,9,15
7,02,0,82
510,01,8,82
402,01,7,82
711,01,10,104
523,01,8,104
303,01,6,104
727,02,10,147
431,01,7,147
214,02,5,40
376,02,7,40
482,01,8,40
590,01,9,40
173,06,3,134
86,03,1,134
646,02,9,134
99,02,1,156
542,02,8,156
340,01,6,156
733,01,10,156
675,03,10,24
473,02,8,24
272,01,6,24
620,02,9,90
58,01,1,90
514,01,8,90
704,01,10,90
349,02,6,177
115,01,1,177
486,01,8,46
681,01,10,46
665,04,9,200
188,02,3,200
567,02,8,200
360,02,6,200
130,01,1,200
742,01,10,200
293,02,6,68
692,01,10,68
250,06,5,179
117,03,1,179
451,01,7,179
556,01,8,179
351,01,6,179
19,01,0,179
545,03,8,159
439,02,7,159
734,02,10,159
343,01,6,159
102,01,1,159
239,01,5,159
16,01,0,159
411,02,7,93
517,02,8,93
622,02,9,93
60,01,1,93
222,01,5,93
706,01,10,93
10,01,0,93
423,03,7,137
649,03,9,137
326,01,6,137
14,01,0,137
307,02,6,114
70,01,1,114
715,01,10,114
258,01,6,4
573,01,9,4
669,01,10,4
2,02,0,27
676,01,10,27
693,02,10,71
487,02,8,47
282,02,6,47
33,02,1,47
592,02,9,47
3,02,0,47
221,05,5,91
705,04,10,91
59,02,1,91
515,01,8,91
621,01,9,91
9,01,0,91
799,01,12,91
811,03,12,135
325,02,6,135
722,02,10,135
647,01,9,135
13,01,0,135
87,01,1,135
820,03,12,157
543,02,8,157
341,02,6,157
15,01,0,157
100,01,1,157
666,02,9,201
568,01,8,201
22,01,0,201
361,01,6,201
254,01,5,201
131,01,1,201
743,01,10,201
350,02,6,178
249,02,5,178
116,02,1,178
555,01,8,178
656,01,9,178
464,02,8,3
572,01,9,3
257,01,6,3
668,01,10,3
6,03,0,69
604,01,9,69
46,01,1,69
583,01,9,25
1,01,0,25
477,01,8,32
773,01,12,32
689,03,10,64
43,03,1,64
5,02,0,64
497,02,8,64
291,02,6,64
602,01,9,64
788,01,12,64
391,01,7,64
220,03,5,85
700,03,10,85
616,02,9,85
795,02,12,85
512,02,8,85
8,01,0,85
405,01,7,85
234,03,5,129
12,02,0,129
808,02,12,129
641,01,9,129
417,01,7,129
321,01,6,129
81,01,1,129
448,03,7,172
18,02,0,172
346,02,6,172
110,02,1,172
246,01,5,172
552,01,8,172
712,02,10,108
803,02,12,108
228,01,5,108
305,01,6,108
67,01,1,108
816,01,12,151
434,01,7,151
537,01,8,151
336,01,6,151
96,01,1,151
579,02,9,19
371,01,7,19
471,01,8,19
267,01,6,19
663,01,9,196
21,01,0,196
571,01,9,2
463,01,8,2
505,02,8,76
398,02,7,76
217,02,5,76
608,01,9,76
48,01,1,76
632,03,9,119
312,01,6,119
74,01,1,119
413,01,7,119
231,01,5,119
466,02,8,9
366,02,7,9
261,01,6,9
529,02,8,141
330,01,6,141
88,01,1,141
298,01,6,98
623,01,9,98
520,01,8,98
492,01,8,57
23,05,1,0
255,04,6,0
363,02,7,0
205,02,5,0
569,01,9,0
241,03,5,164
652,02,9,164
442,01,7,164
172,03,3,131
643,03,9,131
323,02,6,131
809,01,12,131
721,01,10,131
419,01,7,131
83,01,1,131
539,03,8,153
338,02,6,153
97,02,1,153
180,01,3,153
817,01,12,153
731,01,10,153
436,01,7,153
789,03,12,66
603,02,9,66
292,01,6,66
691,01,10,66
392,01,7,66
499,01,8,66
44,01,1,66
248,06,5,174
553,02,8,174
450,01,7,174
112,01,1,174
165,03,3,110
804,02,12,110
229,02,5,110
713,01,10,110
524,01,8,110
618,02,9,87
55,02,1,87
160,01,3,87
796,01,12,87
702,01,10,87
407,01,7,87
279,01,6,43
679,01,10,43
378,01,7,43
483,01,8,43
31,01,1,43
581,01,9,21
269,01,6,21
674,01,10,21
372,01,7,21
358,01,6,197
741,01,10,197
460,01,7,197
513,03,8,89
57,03,1,89
619,03,9,89
409,03,7,89
798,01,12,89
541,04,8,155
339,02,6,155
819,01,12,155
98,01,1,155
437,01,7,155
645,03,9,133
421,02,7,133
810,01,12,133
324,01,6,133
85,01,1,133
771,05,12,23
271,01,6,23
582,01,9,23
129,01,1,199
664,01,9,199
461,01,7,199
306,01,6,112
281,02,6,45
485,01,8,45
380,01,7,45
114,02,1,176
348,01,6,176
432,04,7,148
178,04,3,148
535,03,8,148
814,02,12,148
728,01,10,148
334,01,6,148
93,01,1,148
511,03,8,83
794,02,12,83
403,02,7,83
614,02,9,83
53,02,1,83
698,01,10,83
740,05,10,194
662,02,9,194
565,02,8,194
128,02,1,194
638,03,9,126
718,01,10,126
319,01,6,126
415,01,7,126
79,01,1,126
304,04,6,105
801,02,12,105
164,01,3,105
266,02,6,16
148,02,3,16
370,01,7,16
825,01,12,170
653,01,9,170
108,01,1,170
183,01,3,170
778,01,12,41
30,01,1,41
90,03,1,143
531,03,8,143
427,02,7,143
176,02,3,143
236,02,5,143
331,01,6,143
200,01,4,143
725,01,10,143
766,05,12,11
575,02,9,11
263,02,6,11
368,01,7,11
146,01,3,11
468,01,8,11
286,02,6,59
38,01,1,59
154,01,3,59
597,01,9,59
191,01,4,59
686,01,10,59
494,01,8,59
610,02,9,78
507,02,8,78
49,01,1,78
793,01,12,78
193,01,4,78
696,01,10,78
634,03,9,121
169,02,3,121
314,02,6,121
197,01,4,121
709,04,10,100
64,01,1,100
225,01,5,100
300,01,6,100
382,03,7,49
150,02,3,49
34,01,1,49
781,01,12,49
242,03,5,166
443,02,7,166
201,01,4,166
190,03,4,37
29,01,1,37
776,01,12,37
252,02,5,190
739,01,10,190
563,01,8,190
636,02,9,123
232,02,5,123
316,02,6,123
806,02,12,123
414,01,7,123
170,01,3,123
76,01,1,123
198,01,4,123
287,03,6,60
495,02,8,60
598,02,9,60
388,01,7,60
155,01,3,60
39,01,1,60
785,01,12,60
195,03,4,102
226,02,5,102
710,01,10,102
626,01,9,102
66,01,1,102
302,01,6,102
782,03,12,50
683,02,10,50
151,02,3,50
489,01,8,50
594,01,9,50
429,04,7,145
533,03,8,145
92,02,1,145
823,02,12,168
202,02,4,168
445,01,7,168
549,01,8,168
243,01,5,168
147,02,3,13
264,02,6,13
369,01,7,13
673,01,10,13
208,01,5,13
51,03,1,80
159,01,3,80
612,01,9,80
194,01,4,80
678,04,10,39
213,02,5,39
564,01,8,192
187,01,3,192
660,01,9,192
204,01,4,192
792,03,12,77
399,02,7,77
157,02,3,77
695,01,10,77
609,01,9,77
192,01,4,77
506,01,8,77
218,01,5,77
224,03,5,99
624,02,9,99
299,02,6,99
521,02,8,99
708,01,10,99
63,01,1,99
189,02,4,36
277,02,6,36
212,02,5,36
588,01,9,36
480,01,8,36
28,01,1,36
168,04,3,120
313,02,6,120
633,01,9,120
196,01,4,120
75,01,1,120
813,02,12,142
724,01,10,142
199,01,4,142
426,01,7,142
175,01,3,142
530,01,8,142
89,01,1,142
822,03,12,165
105,03,1,165
344,01,6,165
182,01,3,165
682,02,10,48
381,02,7,48
593,01,9,48
488,01,8,48
216,01,5,48
367,02,7,10
574,01,9,10
262,01,6,10
467,01,8,10
207,01,5,10
685,02,10,58
596,01,9,58
387,01,7,58
493,01,8,58
203,03,4,189
738,01,10,189
126,01,1,189
761,03,11,136
812,03,12,136
648,03,9,136
422,01,7,136
294,03,6,70
394,02,7,70
750,01,11,70
605,01,9,70
500,01,8,70
595,02,9,52
747,01,11,52
284,01,6,52
383,01,7,52
35,01,1,52
490,01,8,52
774,03,12,33
27,02,1,33
275,01,6,33
586,01,9,33
124,02,1,187
354,01,6,187
456,01,7,187
561,01,8,187
544,02,8,158
342,01,6,158
438,01,7,158
101,01,1,158
410,02,7,92
752,01,11,92
516,01,8,92
772,02,12,26
584,01,9,26
474,01,8,26
756,01,11,113
69,01,1,113
526,01,8,113
764,01,11,202
362,01,6,202
132,01,1,202
433,04,7,150
95,04,1,150
238,03,5,150
179,03,3,150
536,02,8,150
335,02,6,150
815,01,12,150
729,01,10,150
748,03,11,63
688,03,10,63
496,02,8,63
290,02,6,63
787,01,12,63
156,01,3,63
42,01,1,63
601,01,9,63
640,03,9,128
759,02,11,128
171,02,3,128
80,01,1,128
719,01,10,128
320,01,6,128
245,02,5,171
551,02,8,171
447,01,7,171
184,01,3,171
109,01,1,171
654,01,9,171
699,03,10,84
404,02,7,84
615,01,9,84
783,02,12,51
746,02,11,51
283,02,6,51
210,01,5,18
769,01,12,18
149,01,3,18
578,01,9,18
377,01,7,42
215,01,5,42
779,01,12,42
745,01,11,42
559,02,8,184
122,01,1,184
658,01,9,184
802,02,12,107
227,01,5,107
357,01,6,195
631,03,9,118
230,03,5,118
73,02,1,118
805,02,12,118
167,02,3,118
311,01,6,118
684,08,10,56
386,02,7,56
37,01,1,56
784,01,12,56
153,01,3,56
457,02,7,188
125,02,1,188
355,02,6,188
186,02,3,188
251,02,5,188
562,01,8,188
659,01,9,188
587,03,9,35
375,02,7,35
479,02,8,35
276,02,6,35
775,01,12,35
62,02,1,97
519,02,8,97
297,02,6,97
223,02,5,97
162,01,3,97
821,02,12,163
441,01,7,163
104,01,1,163
548,01,8,163
240,01,5,163
791,02,12,75
504,02,8,75
397,01,7,75
607,01,9,75
174,02,3,140
329,01,6,140
452,04,7,181
557,02,8,181
353,02,6,181
119,01,1,181
185,01,3,181
491,03,8,54
36,02,1,54
152,02,3,54
285,01,6,54
71,02,1,116
309,02,6,116
166,01,3,116
374,04,7,34
478,01,8,34
296,02,6,95
518,01,8,95
161,01,3,95
47,02,1,73
502,01,8,73
145,02,3,6
259,01,6,6
181,01,3,161
133,01,1,203
158,04,3,79
400,04,7,79
611,04,9,79
50,02,1,79
508,02,8,79
697,01,10,79
91,03,1,144
177,03,3,144
532,03,8,144
726,03,10,144
332,02,6,144
428,01,7,144
800,05,12,101
301,02,6,101
65,01,1,101
163,01,3,101
625,01,9,101
522,01,8,101
481,02,8,38
278,02,6,38
589,01,9,38
777,01,12,38
716,03,10,122
635,02,9,122
315,01,6,122
106,02,1,167
444,02,7,167
767,02,12,12
672,01,10,12
458,01,7,191
356,01,6,191
379,03,7,44
280,02,6,44
680,02,10,44
484,02,8,44
591,02,9,44
780,01,12,44
32,01,1,44
644,04,9,132
84,02,1,132
420,02,7,132
347,02,6,175
554,02,8,175
826,01,12,175
113,01,1,175
655,01,9,175
797,02,12,88
56,02,1,88
703,02,10,88
408,01,7,88
827,01,12,186
123,01,1,186
455,01,7,186
560,01,8,186
714,02,10,111
525,01,8,111
628,01,9,111
732,02,10,154
818,01,12,154
540,01,8,154
790,01,12,67
45,01,1,67
393,01,7,67
359,02,6,198
566,01,8,198
270,02,6,22
770,01,12,22
